[2026-07-06 12:34:56] mode=pearls dry_run files=20 pearls=0
[2026-07-07 17:29:10] mode=watch ocr=False files=1 pearls=17 elapsed=76s
[2026-07-07 18:28:41] mode=watch ocr=False files=31 pearls=429 elapsed=3302s
[2026-07-08 13:48:08] mode=watch ocr=False files=1 pearls=20 elapsed=349s
[2026-07-09 11:00:52] mode=watch ocr=False files=4 pearls=52 elapsed=406s
[2026-07-10 16:21:01] mode=watch ocr=False files=2 pearls=32 elapsed=321s
[2026-07-12 10:26:51] mode=watch ocr=False files=3 pearls=47 elapsed=569s
[2026-07-14 08:37:54] mode=watch ocr=False files=13 pearls=162 elapsed=1364s
[2026-07-14 08:38:29] mode=watch ocr=False files=0 pearls=0 elapsed=29s
[2026-07-15 17:03:57] mode=watch ocr=False files=3 pearls=48 elapsed=406s
[2026-07-16 18:55:27] mode=watch ocr=False files=2 pearls=27 elapsed=416s
